,description,size,specificity,phi_UB,AUC_UB,sensitivity,tn,F1,sensitivity_UB,specificity_UB,ConfusionMatrix,phi,precision,AUC,pp,sensitivity_LB,tp,specificity_LB,AUC_LB,p,fp,recall,pn,phi_LB,n,fn,mean_area,mean_compactness,mean_concave_points,mean_concavity,mean_fractal_dimension,mean_perimeter,mean_radius,mean_smoothness,mean_symmetry,mean_texture
0,mean_area:q80-100  mean_compactness:q80-100  mean_concave_points:q80-100,44,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,44,0.9195800602362292,44,,,44,0,1.0,0,0.0,0,0,q80-100,q80-100,q80-100,,,,,,,
1,mean_area:q80-100  mean_compactness:q60-80  mean_concave_points:q80-100,24,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,24,0.8575264022774187,24,,,24,0,1.0,0,0.0,0,0,q80-100,q60-80,q80-100,,,,,,,
2,mean_area:q00-20  mean_compactness:q00-20  mean_concave_points:q00-20,38,1.0,0.0,,,38,,,1.0,True,0.0,,,0,,0,0.9074872385841217,,0,0,,38,0.0,38,0,q00-20,q00-20,q00-20,,,,,,,
3,mean_area:q20-40  mean_compactness:q00-20  mean_concave_points:q00-20,21,1.0,0.0,,,21,,,1.0,True,0.0,,,0,,0,0.8389023847809204,,0,0,,21,0.0,21,0,q20-40,q00-20,q00-20,,,,,,,
4,mean_area:q60-80  mean_compactness:q80-100  mean_concave_points:q80-100,28,1.0,1.0,,1.0,1,1.0,1.0,1.0,True,1.0,1.0,1.0,27,0.8722971323845661,27,0.025000000000000022,,27,0,1.0,1,0.0,1,0,q60-80,q80-100,q80-100,,,,,,,
5,mean_area:q80-100  mean_compactness:q80-100  mean_concavity:q80-100,46,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,46,0.9229381729484393,46,,,46,0,1.0,0,0.0,0,0,q80-100,q80-100,,q80-100,,,,,,
6,mean_area:q80-100  mean_compactness:q60-80  mean_concavity:q60-80,25,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,25,0.8628148284692875,25,,,25,0,1.0,0,0.0,0,0,q80-100,q60-80,,q60-80,,,,,,
7,mean_area:q00-20  mean_compactness:q00-20  mean_concavity:q00-20,34,1.0,0.0,,,34,,,1.0,True,0.0,,,0,,0,0.8971820757409873,,0,0,,34,0.0,34,0,q00-20,q00-20,,q00-20,,,,,,
8,mean_area:q20-40  mean_compactness:q20-40  mean_concavity:q20-40,25,1.0,0.0,,,25,,,1.0,True,0.0,,,0,,0,0.8628148284692875,,0,0,,25,0.0,25,0,q20-40,q20-40,,q20-40,,,,,,
9,mean_area:q20-40  mean_compactness:q00-20  mean_concavity:q00-20,24,1.0,0.0,,,24,,,1.0,True,0.0,,,0,,0,0.8575264022774187,,0,0,,24,0.0,24,0,q20-40,q00-20,,q00-20,,,,,,
10,mean_area:q60-80  mean_compactness:q80-100  mean_concavity:q80-100,29,0.0,0.0,,1.0,0,0.9824561403508771,1.0,0.975,True,0.0,0.9655172413793104,,29,0.8765638814997305,28,0.0,,28,1,1.0,0,0.0,1,0,q60-80,q80-100,,q80-100,,,,,,
11,mean_area:q60-80  mean_compactness:q60-80  mean_concavity:q60-80,20,0.8333333333333334,1.0,1.0,0.9285714285714286,5,0.9285714285714286,0.9981932193408724,0.9957892554855104,True,0.7619047619047619,0.9285714285714286,0.8809523809523809,14,0.6613155100681788,13,0.3587654210025136,0.7032542737866427,14,1,0.9285714285714286,6,0.33333796842188596,6,1,q60-80,q60-80,,q60-80,,,,,,
12,mean_area:q80-100  mean_compactness:q60-80  mean_fractal_dimension:q00-20,20,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,20,0.8315665290169145,20,,,20,0,1.0,0,0.0,0,0,q80-100,q60-80,,,q00-20,,,,,
13,mean_area:q60-80  mean_compactness:q80-100  mean_fractal_dimension:q80-100,20,0.3333333333333333,1.0,0.9933273307566755,1.0,1,0.9444444444444444,1.0,0.9057006759492866,True,0.5461186812727502,0.8947368421052632,0.6666666666666667,19,0.8049356770312616,17,0.008403758659612647,0.34000600257665753,17,2,1.0,1,0.0,3,0,q60-80,q80-100,,,q80-100,,,,,
14,mean_area:q80-100  mean_compactness:q80-100  mean_perimeter:q80-100,47,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,47,0.9245142663089414,47,,,47,0,1.0,0,0.0,0,0,q80-100,q80-100,,,,q80-100,,,,
15,mean_area:q80-100  mean_compactness:q60-80  mean_perimeter:q80-100,38,,0.0,,1.0,0,1.0,1.0,,True,0.0,1.0,,38,0.9074872385841217,38,,,38,0,1.0,0,0.0,0,0,q80-100,q60-80,,,,q80-100,,,,
16,mean_area:q00-20  mean_compactness:q20-40  mean_perimeter:q00-20,28,1.0,0.0,,,28,,,1.0,True,0.0,,,0,,0,0.8765638814997305,,0,0,,28,0.0,28,0,q00-20,q20-40,,,,q00-20,,,,
17,mean_area:q00-20  mean_compactness:q40-60  mean_perimeter:q00-20,20,1.0,0.0,,,20,,,1.0,True,0.0,,,0,,0,0.8315665290169145,,0,0,,20,0.0,20,0,q00-20,q40-60,,,,q00-20,,,,
18,mean_area:q00-20  mean_compactness:q00-20  mean_perimeter:q00-20,41,1.0,0.0,,,41,,,1.0,True,0.0,,,0,,0,0.9139561637059667,,0,0,,41,0.0,41,0,q00-20,q00-20,,,,q00-20,,,,
19,mean_area:q20-40  mean_compactness:q20-40  mean_perimeter:q20-40,31,1.0,0.0,,,31,,,1.0,True,0.0,,,0,,0,0.88781125307763,,0,0,,31,0.0,31,0,q20-40,q20-40,,,,q20-40,,,,
20,mean_area:q20-40  mean_compactness:q40-60  mean_perimeter:q20-40,28,1.0,0.0,,,28,,,1.0,True,0.0,,,0,,0,0.8765638814997305,,0,0,,28,0.0,28,0,q20-40,q40-60,,,,q20-40,,,,
21,mean_area:q20-40  mean_compactness:q00-20  mean_perimeter:q20-40,29,1.0,0.0,,0.0,28,,0.975,1.0,True,0.0,,,0,0.0,0,0.8765638814997305,,1,0,0.0,29,0.0,28,1,q20-40,q00-20,,,,q20-40,,,,
